"mz","rt","mca_1_l_d2o","mca_1_l_h2o","mca_1_p_d2o","mca_1_p_h2o","mca_12_l_d2o","mca_12_l_h2o","mca_12_p_d2o","mca_12_p_h2o","mca_13_l_d2o","mca_13_l_h2o","mca_13_p_d2o","mca_13_p_h2o","mca_3_l_d2o","mca_3_l_h2o","mca_3_p_d2o","mca_3_p_h2o"
"131.9","2829",42196.8864562986,44143.2669574659,44334.1631260475,44286.6928933187,25425.2240299483,26586.7847952708,25121.4148040773,24562.621151733,42144.4361494952,44825.3896937771,41670.5593008851,42781.7603105829,45435.0357552667,44268.0827591957,25128.6691903246,42911.2015816827
"132.1","63",765133.773759014,931048.165441406,78593.6923531827,788965.285404053,170126.178630469,159107.677094351,185416.419861654,269459.929865302,763849.3329375,392490.619942255,39982.7839585347,2140609.73445313,786904.683453369,1359297.275625,45262.7147626927,794684.250871264
"133.1","1174",409477.216687953,233037.657140175,12788.3087878139,18982.5006291375,141929.682216234,130691.723244536,18992.7156789534,53452.9332658498,149179.980596925,74743.7022616804,3684.99349805105,10450.1163199611,878700.41094951,1031399.16852089,54644.493944092,47669.795334007
"133.1","47",820633.561498718,318711.137550732,229166.069735107,1278257.17867767,265829.062739502,270411.856434174,306107.630614929,494856.270876269,1206123.2214061,570077.296226349,401505.992926712,5981719.83176239,546476.119762573,281071.325170898,451616.284750279,1702927.39183092
"134.1","47",260970.951195831,233172.54163147,545571.525905762,142577.184028931,275819.170606787,366899.664984521,151565.009863184,161676.400522852,674146.385537796,178677.687473304,181798.576333694,344430.478118591,131974.463164116,59748.9944164872,391123.750268236,129779.377312118
"134.1","173",101901.787317773,134465.991030469,25023.7109345607,84596.4284742189,255388.314233023,255212.889590625,105767.604489844,115051.729028027,705175.643924999,1092085.505025,39221.4454332557,586923.307126172,444619.68699375,249746.847515625,36676.9634842529,56146.5964874268
"135","51",193981.46880406,210555.687814002,677087.987037109,42422.1863994141,81414.8758047251,128767.600352376,121224.386037879,103868.589999151,293588.716523119,89024.8284731351,133317.453132248,58585.3242466384,40494.2041259765,49157.2259673863,967576.96853893,26098.5575889231
"135.1","1241",162081.699598913,116298.720905172,28279.1346565987,35914.8416418462,91195.9945050495,81371.3308871621,38513.4409822599,52352.478102609,66810.6609132547,56223.3256319303,1366.78816704233,21256.5416534182,319850.955614226,341724.866928878,58952.1217788002,54401.2712099929
"135.1","985",112408.410653212,80028.7183569336,1506.07013066533,35451.7763897236,62074.287958515,15402.271645492,2106.54239544674,1803.49761244655,2492.48393774857,27632.5070472653,2276.02138331304,77612.7030092683,185771.935641043,171697.591099138,2854.69014659754,57154.098324632
"135","227",84621.0392548829,89249.4417089842,17232.9177085821,20005.2967306386,53702.2740517242,24593.6202837998,9203.5315980494,9607.3817093981,50321.5473632812,129919.716903921,8249.96291294549,66797.682918091,163827.508937988,235430.144886998,10319.3869122954,23325.364390203
"136.1","48",217532.154525238,225681.685147705,321114.911077881,172776.362722356,265341.150251639,267426.127934792,297742.71063872,330954.597792783,990104.793058339,678009.454750006,126350.175974579,157054.711095337,298841.242807792,118452.504384417,1951828.46713989,150150.592582031
"137.1","267",919642.736896552,528347.351314655,557935.896659484,633432.231271554,277477.942574218,266780.035571121,44051.8450200544,92981.3103910006,170221.171338131,35642.7792608643,11449.0553562848,151574.202478448,1270070.03560345,1575799.60890625,228071.096423891,232247.811788794
"137.1","48",1453401.29755276,434457.544199404,2067873.30259803,2433887.11252632,273637.683806205,414361.512102794,1882300.50320824,164518.265130655,5655562.75905507,5091188.66322235,83597.5540692802,5087430.35002027,3509850.51037972,3430269.84621277,627840.41387146,913228.914696947
"138.1","49",1795474.25797082,2805699.21439362,5969690.57625801,6660383.25540894,1996101.68331787,2380043.14550432,1251771.37220009,2438635.49878326,3490401.77982839,4536872.81743856,551848.884256141,5005740.70906335,2303033.81676041,3619763.59780109,2628318.45163376,4259026.7263415
"139","2781",69883.4218625586,75080.3884218741,60406.0928906258,62788.7202702465,81282.1960034194,78169.4943472712,74970.6520856571,71180.9439344612,61729.3342315206,64992.442521093,58148.3728995456,58068.8765484152,63895.2855692881,65175.0804071645,91706.6225868048,59300.4063117195
"139","381",152054.105106027,156890.200739397,55420.114076451,119079.044782366,113510.746842672,78013.0965921336,53306.4979040948,19171.0775354952,273779.408223004,383237.214895019,35628.010785291,392722.668603515,186507.81608941,363852.190735213,65775.237106681,243419.087130301
"139","69",518175.62795517,1008504.06116089,152955.288126725,1063214.13635424,314012.475,344875.594388799,289600.366433795,936113.338606568,40544.6201891535,439297.47374418,146769.835975342,387414.288198852,720900.977716619,1082571.87878906,92932.0960970406,841131.450915527
"140","68",69878.9857086182,68414.3464668274,92251.2421617857,71445.7431436157,24062.7591125488,24349.0956522535,20711.7999060132,67608.7836836243,618335.900116425,6812.2976455753,178362.296672416,480.921668507206,123738.387297363,77814.2127310547,212745.508428726,62859.2916763071
"141","76",121315.625444183,134904.815685582,212669.854261569,86861.9167215821,102347.779088912,96644.5614519392,82864.8168109927,115687.669539795,147069.229270583,119062.158421875,299176.214269638,71274.4692608643,163854.739857138,196786.74635032,383891.535840658,104757.0246375
"142.1","38",117303.680122728,15969.454846206,1983099.22515556,72146.3695310112,23078.5368095814,21174.0912559291,5929.73762534572,29079.0195548318,191606.1433875,22041.7426973615,173903.114400215,94940.972558025,90175.9641414642,39537.8649730683,1001064.4217209,161187.496437696
