"mz","rt","sample_name","into","plant_id","day","organ","feed"
239.2,2503,"mca_1_l_d2o",306387.009273421,"1",5,"l","d2o"
240.1,37,"mca_1_l_d2o",129370.117292259,"1",5,"l","d2o"
240.2,2503,"mca_1_l_d2o",62515.3628557223,"1",5,"l","d2o"
241.1,1131,"mca_1_l_d2o",81115.0930957027,"1",5,"l","d2o"
241.2,64,"mca_1_l_d2o",319506.041363525,"1",5,"l","d2o"
242.1,182,"mca_1_l_d2o",46486.7525982197,"1",5,"l","d2o"
242.1,76,"mca_1_l_d2o",46662.1648409874,"1",5,"l","d2o"
242.3,1985,"mca_1_l_d2o",22525.3925955433,"1",5,"l","d2o"
243,76,"mca_1_l_d2o",141264.409657288,"1",5,"l","d2o"
243,432,"mca_1_l_d2o",81078.4893507541,"1",5,"l","d2o"
243.1,2161,"mca_1_l_d2o",40419.4955478377,"1",5,"l","d2o"
243.2,217,"mca_1_l_d2o",33484.28879418,"1",5,"l","d2o"
244.1,71,"mca_1_l_d2o",17395.9635007376,"1",5,"l","d2o"
244.2,1840,"mca_1_l_d2o",46662.7043484873,"1",5,"l","d2o"
245.1,97,"mca_1_l_d2o",447786.196200257,"1",5,"l","d2o"
246.1,51,"mca_1_l_d2o",347884.757994003,"1",5,"l","d2o"
246.2,1484,"mca_1_l_d2o",23833.3505231583,"1",5,"l","d2o"
247.1,54,"mca_1_l_d2o",261755.842508451,"1",5,"l","d2o"
247.2,2745,"mca_1_l_d2o",1083062.24752441,"1",5,"l","d2o"
248.1,54,"mca_1_l_d2o",40476.6214478478,"1",5,"l","d2o"
249,49,"mca_1_l_d2o",343527.106325684,"1",5,"l","d2o"
249.1,1491,"mca_1_l_d2o",179634.133866795,"1",5,"l","d2o"
249.1,1208,"mca_1_l_d2o",10795.6801505691,"1",5,"l","d2o"
249.1,966,"mca_1_l_d2o",69521.5092890625,"1",5,"l","d2o"
249.2,2057,"mca_1_l_d2o",128328.47213287,"1",5,"l","d2o"
249.3,2532,"mca_1_l_d2o",17639.6007022095,"1",5,"l","d2o"
250.1,50,"mca_1_l_d2o",36836.2050602783,"1",5,"l","d2o"
250.2,1910,"mca_1_l_d2o",82215.7585002029,"1",5,"l","d2o"
250.2,2054,"mca_1_l_d2o",24465.6701886743,"1",5,"l","d2o"
251,55,"mca_1_l_d2o",46877.9577082707,"1",5,"l","d2o"
252.1,876,"mca_1_l_d2o",715471.779088542,"1",5,"l","d2o"
252,60,"mca_1_l_d2o",49478.4163486665,"1",5,"l","d2o"
