"mz","rt","sample_name","day","organ","feed","into_norm","metabolite","ion"
301.2,345,"mca_1_p_d2o",5,"p","d2o",466387.501836797,"methylcoclaurine","M1"
301.2,345,"mca_1_p_h2o",5,"p","h2o",839817.822558303,"methylcoclaurine","M1"
301.2,345,"mca_12_l_d2o",0,"l","d2o",616599.725773362,"methylcoclaurine","M1"
301.2,345,"mca_12_l_h2o",0,"l","h2o",517725.381113158,"methylcoclaurine","M1"
301.2,345,"mca_12_p_d2o",0,"p","d2o",1813624.69664122,"methylcoclaurine","M1"
301.2,345,"mca_12_p_h2o",0,"p","h2o",2842094.8676021,"methylcoclaurine","M1"
301.2,345,"mca_13_l_d2o",15,"l","d2o",24058.4258240055,"methylcoclaurine","M1"
301.2,345,"mca_13_l_h2o",15,"l","h2o",0,"methylcoclaurine","M1"
301.2,345,"mca_13_p_d2o",15,"p","d2o",12212.0055918614,"methylcoclaurine","M1"
301.2,345,"mca_13_p_h2o",15,"p","h2o",2136.49660764904,"methylcoclaurine","M1"
301.2,345,"mca_3_l_d2o",10,"l","d2o",385859.96814093,"methylcoclaurine","M1"
301.2,345,"mca_3_l_h2o",10,"l","h2o",200372.873171137,"methylcoclaurine","M1"
301.2,345,"mca_3_p_d2o",10,"p","d2o",292854.439406516,"methylcoclaurine","M1"
301.2,345,"mca_3_p_h2o",10,"p","h2o",174757.594484986,"methylcoclaurine","M1"
331.2,356,"mca_1_l_d2o",5,"l","d2o",69662.8130263169,"reticuline","M1"
331.2,356,"mca_1_l_h2o",5,"l","h2o",27990.5187727575,"reticuline","M1"
331.2,356,"mca_1_p_d2o",5,"p","d2o",316889.44988443,"reticuline","M1"
331.2,356,"mca_1_p_h2o",5,"p","h2o",233407.546533257,"reticuline","M1"
331.2,356,"mca_12_l_d2o",0,"l","d2o",30136.5284551221,"reticuline","M1"
331.2,356,"mca_12_l_h2o",0,"l","h2o",26600.2873705046,"reticuline","M1"
331.2,356,"mca_12_p_d2o",0,"p","d2o",58088.2634804759,"reticuline","M1"
331.2,356,"mca_12_p_h2o",0,"p","h2o",245153.102685228,"reticuline","M1"
331.2,356,"mca_13_l_d2o",15,"l","d2o",54804460.8960298,"reticuline","M1"
331.2,356,"mca_13_l_h2o",15,"l","h2o",57579157.2025706,"reticuline","M1"
331.2,356,"mca_13_p_d2o",15,"p","d2o",2420679.89089009,"reticuline","M1"
331.2,356,"mca_13_p_h2o",15,"p","h2o",43271112.0540864,"reticuline","M1"
331.2,356,"mca_3_l_d2o",10,"l","d2o",52508426.1115264,"reticuline","M1"
331.2,356,"mca_3_l_h2o",10,"l","h2o",49603622.8329613,"reticuline","M1"
331.2,356,"mca_3_p_d2o",10,"p","d2o",10509187.1057964,"reticuline","M1"
331.2,356,"mca_3_p_h2o",10,"p","h2o",5007364.40254674,"reticuline","M1"
399.1,316,"mca_1_l_d2o",5,"l","d2o",52845397.9588608,"acutumine","M1"
399.1,316,"mca_1_l_h2o",5,"l","h2o",45504791.6999634,"acutumine","M1"
399.1,316,"mca_1_p_d2o",5,"p","d2o",5375619.63846987,"acutumine","M1"
399.1,316,"mca_1_p_h2o",5,"p","h2o",17044257.595309,"acutumine","M1"
399.1,316,"mca_12_l_d2o",0,"l","d2o",30290952.2252465,"acutumine","M1"
399.1,316,"mca_12_l_h2o",0,"l","h2o",28664095.5727613,"acutumine","M1"
399.1,316,"mca_12_p_d2o",0,"p","d2o",42983229.1580332,"acutumine","M1"
399.1,316,"mca_12_p_h2o",0,"p","h2o",31590277.9567757,"acutumine","M1"
399.1,316,"mca_13_l_d2o",15,"l","d2o",48526064.8009538,"acutumine","M1"
399.1,316,"mca_13_l_h2o",15,"l","h2o",31829407.6114193,"acutumine","M1"
399.1,316,"mca_13_p_d2o",15,"p","d2o",1736554.71618223,"acutumine","M1"
399.1,316,"mca_13_p_h2o",15,"p","h2o",65893136.2520241,"acutumine","M1"
399.1,316,"mca_3_l_d2o",10,"l","d2o",27344294.7582139,"acutumine","M1"
399.1,316,"mca_3_l_h2o",10,"l","h2o",20157534.2634144,"acutumine","M1"
399.1,316,"mca_3_p_d2o",10,"p","d2o",2103833.69663085,"acutumine","M1"
399.1,316,"mca_3_p_h2o",10,"p","h2o",208023.638377748,"acutumine","M1"
385.1,226,"mca_1_l_d2o",5,"l","d2o",10710597.3577564,"acutumidine","M1"
385.1,226,"mca_1_l_h2o",5,"l","h2o",8130430.16520561,"acutumidine","M1"
