"mz","rt","sample_name","day","organ","feed","into_norm"
100,2781,"mca_12_l_h2o",0,"l","h2o",992758.169018173
100,2781,"mca_12_p_d2o",0,"p","d2o",838032.171406762
100,2781,"mca_12_p_h2o",0,"p","h2o",1066280.68333585
100,2781,"mca_13_l_d2o",15,"l","d2o",388051.747970467
100,2781,"mca_13_l_h2o",15,"l","h2o",251313.733381231
100,2781,"mca_13_p_d2o",15,"p","d2o",497658.689783639
100,2781,"mca_13_p_h2o",15,"p","h2o",221734.925501897
100,2781,"mca_3_l_d2o",10,"l","d2o",257416.537290409
100,2781,"mca_3_l_h2o",10,"l","h2o",202392.609477189
100,2781,"mca_3_p_d2o",10,"p","d2o",539890.393334956
100,2781,"mca_3_p_h2o",10,"p","h2o",253360.895092728
101,56,"mca_1_l_d2o",5,"l","d2o",68480.3028451475
101,56,"mca_1_l_h2o",5,"l","h2o",96168.3705007158
101,56,"mca_1_p_d2o",5,"p","d2o",18265.397464296
101,56,"mca_1_p_h2o",5,"p","h2o",184691.021718498
101,56,"mca_12_l_d2o",0,"l","d2o",107320.032853149
101,56,"mca_12_l_h2o",0,"l","h2o",98389.5117865818
101,56,"mca_12_p_d2o",0,"p","d2o",41042.3949353499
101,56,"mca_12_p_h2o",0,"p","h2o",56836.3594474426
101,56,"mca_13_l_d2o",15,"l","d2o",57260.8856964413
101,56,"mca_13_l_h2o",15,"l","h2o",102008.743862901
101,56,"mca_13_p_d2o",15,"p","d2o",2617.90500297632
101,56,"mca_13_p_h2o",15,"p","h2o",215052.033185518
101,56,"mca_3_l_d2o",10,"l","d2o",57467.1427006777
101,56,"mca_3_l_h2o",10,"l","h2o",40563.0919512139
101,56,"mca_3_p_d2o",10,"p","d2o",19417.862609981
101,56,"mca_3_p_h2o",10,"p","h2o",96332.0342821884
101,2782,"mca_1_l_d2o",5,"l","d2o",140100.555635365
101,2782,"mca_1_l_h2o",5,"l","h2o",176217.052051933
101,2782,"mca_1_p_d2o",5,"p","d2o",117164.206856079
101,2782,"mca_1_p_h2o",5,"p","h2o",124337.859784364
101,2782,"mca_12_l_d2o",0,"l","d2o",367330.190057456
101,2782,"mca_12_l_h2o",0,"l","h2o",373734.366334557
101,2782,"mca_12_p_d2o",0,"p","d2o",315580.578527977
101,2782,"mca_12_p_h2o",0,"p","h2o",409835.884395167
101,2782,"mca_13_l_d2o",15,"l","d2o",150321.706377139
101,2782,"mca_13_l_h2o",15,"l","h2o",93740.4129008839
101,2782,"mca_13_p_d2o",15,"p","d2o",184459.631428823
101,2782,"mca_13_p_h2o",15,"p","h2o",83952.9192742439
101,2782,"mca_3_l_d2o",10,"l","d2o",95211.3380095123
101,2782,"mca_3_l_h2o",10,"l","h2o",75316.3088405765
101,2782,"mca_3_p_d2o",10,"p","d2o",212946.490222382
101,2782,"mca_3_p_h2o",10,"p","h2o",93736.5446560156
102,2781,"mca_1_l_d2o",5,"l","d2o",156540.293264896
102,2781,"mca_1_l_h2o",5,"l","h2o",196926.748790321
102,2781,"mca_1_p_d2o",5,"p","d2o",127382.211098589
102,2781,"mca_1_p_h2o",5,"p","h2o",134147.368198598
102,2781,"mca_12_l_d2o",0,"l","d2o",397803.515150294
102,2781,"mca_12_l_h2o",0,"l","h2o",392561.046285497
102,2781,"mca_12_p_d2o",0,"p","d2o",351252.709890806
102,2781,"mca_12_p_h2o",0,"p","h2o",436843.864230421
102,2781,"mca_13_l_d2o",15,"l","d2o",155878.852701751
102,2781,"mca_13_l_h2o",15,"l","h2o",98724.7004154175
102,2781,"mca_13_p_d2o",15,"p","d2o",206910.669732085
102,2781,"mca_13_p_h2o",15,"p","h2o",90022.1794259338
102,2781,"mca_3_l_d2o",10,"l","d2o",104364.294495547
102,2781,"mca_3_l_h2o",10,"l","h2o",81593.2036450415
102,2781,"mca_3_p_d2o",10,"p","d2o",215881.53529194
102,2781,"mca_3_p_h2o",10,"p","h2o",103240.63630774
102.1,47,"mca_1_l_d2o",5,"l","d2o",119534.615256814
102.1,47,"mca_1_l_h2o",5,"l","h2o",132397.849806081
102.1,47,"mca_1_p_d2o",5,"p","d2o",2299.15634619243
102.1,47,"mca_1_p_h2o",5,"p","h2o",80884.1830059711
102.1,47,"mca_12_l_d2o",0,"l","d2o",164101.243448009
102.1,47,"mca_12_l_h2o",0,"l","h2o",174344.780528193
102.1,47,"mca_12_p_d2o",0,"p","d2o",27800.906627907
102.1,47,"mca_12_p_h2o",0,"p","h2o",17179.0554280388
102.1,47,"mca_13_l_d2o",15,"l","d2o",52299.6194764006
102.1,47,"mca_13_l_h2o",15,"l","h2o",83066.4834657633
102.1,47,"mca_13_p_d2o",15,"p","d2o",6291.88161051072
102.1,47,"mca_13_p_h2o",15,"p","h2o",63602.5921670153
102.1,47,"mca_3_l_d2o",10,"l","d2o",63281.7859101646
102.1,47,"mca_3_l_h2o",10,"l","h2o",12296.0402147471
102.1,47,"mca_3_p_d2o",10,"p","d2o",1431.26012889468
102.1,47,"mca_3_p_h2o",10,"p","h2o",36425.6851652363
104.1,42,"mca_1_l_d2o",5,"l","d2o",163341.188094318
104.1,42,"mca_1_l_h2o",5,"l","h2o",200142.117053729
104.1,42,"mca_1_p_d2o",5,"p","d2o",112004.806246551
104.1,42,"mca_1_p_h2o",5,"p","h2o",88311.0283167478
104.1,42,"mca_12_l_d2o",0,"l","d2o",160598.436419775
104.1,42,"mca_12_l_h2o",0,"l","h2o",188654.73619297
104.1,42,"mca_12_p_d2o",0,"p","d2o",139308.180939142
104.1,42,"mca_12_p_h2o",0,"p","h2o",155100.828536273
104.1,42,"mca_13_l_d2o",15,"l","d2o",201787.727284926
104.1,42,"mca_13_l_h2o",15,"l","h2o",154688.739224369
104.1,42,"mca_13_p_d2o",15,"p","d2o",40482.1564219796
104.1,42,"mca_13_p_h2o",15,"p","h2o",88820.3923991018
104.1,42,"mca_3_l_d2o",10,"l","d2o",109418.904760417
104.1,42,"mca_3_l_h2o",10,"l","h2o",54010.2794595934
104.1,42,"mca_3_p_d2o",10,"p","d2o",79043.0044744242
104.1,42,"mca_3_p_h2o",10,"p","h2o",38587.0983606463
105,137,"mca_1_l_d2o",5,"l","d2o",59230.2085550565
105,137,"mca_1_l_h2o",5,"l","h2o",65203.8398615522
105,137,"mca_1_p_d2o",5,"p","d2o",53988.2625308661
105,137,"mca_1_p_h2o",5,"p","h2o",62974.175503509
105,137,"mca_12_l_d2o",0,"l","d2o",14367.4076307702
105,137,"mca_12_l_h2o",0,"l","h2o",20697.9779801163
105,137,"mca_12_p_d2o",0,"p","d2o",65061.7370044107
105,137,"mca_12_p_h2o",0,"p","h2o",136848.974365792
105,137,"mca_13_l_d2o",15,"l","d2o",28292.6079435977
105,137,"mca_13_l_h2o",15,"l","h2o",9624.11703689136
105,137,"mca_13_p_d2o",15,"p","d2o",3016.97125932912
105,137,"mca_13_p_h2o",15,"p","h2o",26779.9162430395
105,137,"mca_3_l_d2o",10,"l","d2o",48754.8902410111
105,137,"mca_3_l_h2o",10,"l","h2o",27849.2316159837
105,137,"mca_3_p_d2o",10,"p","d2o",39055.9694681803
105,137,"mca_3_p_h2o",10,"p","h2o",47157.2646046914
106.1,174,"mca_1_l_d2o",5,"l","d2o",32095.4362860561
106.1,174,"mca_1_l_h2o",5,"l","h2o",48679.0971179366
106.1,174,"mca_1_p_d2o",5,"p","d2o",5812.97893606144
106.1,174,"mca_1_p_h2o",5,"p","h2o",26488.9972998514
106.1,174,"mca_12_l_d2o",0,"l","d2o",241568.043056391
106.1,174,"mca_12_l_h2o",0,"l","h2o",274127.439309612
106.1,174,"mca_12_p_d2o",0,"p","d2o",97928.9654928864
106.1,174,"mca_12_p_h2o",0,"p","h2o",152293.099993325
106.1,174,"mca_13_l_d2o",15,"l","d2o",256262.166126873
106.1,174,"mca_13_l_h2o",15,"l","h2o",244565.949687083
106.1,174,"mca_13_p_d2o",15,"p","d2o",18665.9791929949
